geoid (zcta),days_above_90_today,days_above_90_30yrs,change_days_above_90,days_above_100_today,days_above_100_30yrs,change_days_above_100,heatbin_125_today,heatbin_125_30yrs
2651,2,8,6,0,0,0,0.028,0.050
2652,3,9,6,0,1,1,0.028,0.050
2653,1,5,4,0,0,0,0.028,0.050
2655,4,11,7,0,0,0,0.028,0.050
2657,4,11,7,0,2,2,0.028,0.050
2659,1,3,2,0,0,0,0.028,0.050
2660,2,7,5,0,0,0,0.028,0.050
2663,2,8,6,0,1,1,0.028,0.050
2664,2,8,6,0,0,0,0.028,0.050
2666,2,8,6,0,1,1,0.028,0.050
2667,2,8,6,0,1,1,0.028,0.050
2668,5,13,8,0,1,1,0.028,0.050
2669,1,3,2,0,0,0,0.028,0.050
2670,2,7,5,0,0,0,0.028,0.050
2671,1,5,4,0,0,0,0.028,0.050
2672,3,11,8,0,0,0,0.028,0.050
2673,2,9,7,0,0,0,0.028,0.050
2675,2,8,6,0,0,0,0.028,0.050
2702,23,36,13,5,11,6,0.050,0.072
2703,22,35,13,4,10,6,0.050,0.072
2713,4,12,8,0,0,0,0.000,0.000
2715,23,36,13,4,10,6,0.050,0.072
2717,22,35,13,4,10,6,0.050,0.072
2718,25,38,13,5,11,6,0.050,0.072
2719,15,28,13,2,5,3,0.050,0.072
2720,22,36,14,4,10,6,0.050,0.072
2721,21,34,13,4,9,5,0.050,0.072
2723,22,36,14,4,10,6,0.050,0.072
2724,20,34,14,4,9,5,0.050,0.072
2725,22,35,13,4,10,6,0.050,0.072
2726,22,35,13,4,9,5,0.050,0.072
2738,13,25,12,2,5,3,0.050,0.078
2739,14,26,12,2,5,3,0.050,0.078
2740,16,30,14,2,6,4,0.050,0.072
2743,20,33,13,3,8,5,0.050,0.072
2744,15,28,13,2,5,3,0.050,0.072
2745,20,33,13,4,9,5,0.050,0.072
2746,20,33,13,4,9,5,0.050,0.072
2747,18,31,13,3,7,4,0.050,0.072
2748,14,27,13,2,5,3,0.050,0.072
2760,22,35,13,4,9,5,0.050,0.072
2762,22,35,13,4,9,5,0.028,0.022
2763,22,36,14,4,10,6,0.050,0.072
2764,23,37,14,5,10,5,0.050,0.072
2766,23,37,14,4,10,6,0.050,0.072
2767,25,39,14,5,12,7,0.050,0.072
2769,22,36,14,4,10,6,0.050,0.072
2770,19,31,12,3,8,5,0.050,0.078
2771,22,36,14,4,10,6,0.050,0.072
2777,22,35,13,4,9,5,0.050,0.072
2779,24,38,14,5,11,6,0.050,0.072
2780,25,39,14,5,11,6,0.050,0.072
2790,17,30,13,3,7,4,0.050,0.072
2791,10,21,11,1,3,2,0.050,0.072
2802,21,33,12,3,8,5,0.033,0.056
2804,16,29,13,2,6,4,0.011,0.028
2806,21,35,14,4,9,5,0.028,0.033
2807,1,4,3,0,0,0,0.011,0.028
2808,12,23,11,1,4,3,0.011,0.028
2809,20,33,13,3,8,5,0.028,0.033
2812,18,31,13,2,7,5,0.011,0.028
2813,8,18,10,1,2,1,0.011,0.028
2814,16,29,13,2,6,4,0.033,0.056
2815,18,30,12,2,7,5,0.033,0.056
2816,18,31,13,3,7,4,0.022,0.039
2817,18,31,13,3,8,5,0.022,0.039
2818,19,32,13,3,8,5,0.022,0.039
2822,18,31,13,3,7,4,0.011,0.028
2825,16,28,12,2,6,4,0.033,0.056
2826,18,31,13,2,6,4,0.033,0.056
2827,16,29,13,2,6,4,0.022,0.039
2828,18,31,13,3,7,4,0.033,0.056
2830,19,31,12,2,7,5,0.033,0.056
2831,19,31,12,3,8,5,0.033,0.056
2832,19,32,13,3,7,4,0.011,0.028
2833,17,30,13,2,6,4,0.011,0.028
2835,9,19,10,1,2,1,0.022,0.039
2836,18,31,13,2,7,5,0.011,0.028
2837,10,20,10,1,3,2,0.022,0.039
2838,20,33,13,3,8,5,0.033,0.056
2839,18,30,12,2,6,4,0.033,0.056
2840,6,16,10,0,1,1,0.022,0.039
2841,6,16,10,0,1,1,0.022,0.039
2842,7,17,10,0,2,2,0.022,0.039
2852,16,29,13,2,6,4,0.011,0.028
2857,17,30,13,2,7,5,0.033,0.056
2858,18,31,13,2,6,4,0.033,0.056
